# file...... data/scenario3/hacked_reactive_GFCR3-12.47-3_reg2_output.csv
# date...... Tue Aug 17 14:40:36 2021
# user...... solal
# host...... (null)
# target.... regulator 1
# trigger... (none)
# interval.. 60
# limit..... 1440
# timestamp,tap_A,tap_B,tap_C,power_in_A.real,power_in_A.imag,power_in_B.real,power_in_B.imag,power_in_C.real,power_in_C.imag,power_in.real,power_in.imag
2000-01-01 00:00:00 EST,0,0,0,+581429,-224602,+449761,-297784,+483684,-207222,+1.51487e+06,-729607
2000-01-01 00:01:00 EST,2,2,2,+582748,-430795,+448915,-298998,+484570,-206806,+1.51623e+06,-936599
2000-01-01 00:02:00 EST,3,3,4,+582526,-439430,+448774,-299074,+484179,-206957,+1.51548e+06,-945460
2000-01-01 00:03:00 EST,3,3,4,+580398,-225457,+449324,-298062,+482717,-207560,+1.51244e+06,-731079
2000-01-01 00:04:00 EST,3,2,2,+580376,-225475,+449381,-298063,+482872,-207481,+1.51263e+06,-731019
2000-01-01 00:05:00 EST,3,2,2,+580376,-225475,+449381,-298063,+482872,-207481,+1.51263e+06,-731019
2000-01-01 00:06:00 EST,3,2,2,+580376,-225475,+449381,-298063,+482872,-207481,+1.51263e+06,-731019
2000-01-01 00:07:00 EST,3,2,2,+580376,-225475,+449381,-298063,+482872,-207481,+1.51263e+06,-731019
2000-01-01 00:08:00 EST,3,2,2,+580376,-225475,+449381,-298063,+482872,-207481,+1.51263e+06,-731019
2000-01-01 00:09:00 EST,3,2,2,+580376,-225475,+449381,-298063,+482872,-207481,+1.51263e+06,-731019
