# file...... R3-12.47-3_reg2_output.csv
# date...... Tue Aug 17 13:35:52 2021
# user...... solal
# host...... (null)
# target.... regulator 1
# trigger... (none)
# interval.. 60
# limit..... 1440
# timestamp,tap_A,tap_B,tap_C,power_in_A.real,power_in_A.imag,power_in_B.real,power_in_B.imag,power_in_C.real,power_in_C.imag,power_in.real,power_in.imag
2000-01-01 00:00:00 EST,0,0,0,+846306,+305644,+733605,+267948,+718553,+262739,+2.29846e+06,+836331
2000-01-01 00:01:00 EST,2,2,2,+843072,+110783,+734441,+266310,+719306,+264275,+2.29682e+06,+641368
2000-01-01 00:02:00 EST,4,4,4,+842882,+99324.4,+734464,+266250,+719080,+264106,+2.29643e+06,+629681
2000-01-01 00:03:00 EST,5,5,6,+842826,+90228.9,+734494,+266267,+718891,+263939,+2.29621e+06,+620435
2000-01-01 00:04:00 EST,5,5,6,+845475,+304244,+733640,+267808,+717881,+262221,+2.297e+06,+834273
2000-01-01 00:05:00 EST,5,5,6,+845475,+304244,+733640,+267808,+717881,+262221,+2.297e+06,+834273
2000-01-01 00:06:00 EST,5,5,6,+845475,+304244,+733640,+267808,+717881,+262221,+2.297e+06,+834273
2000-01-01 00:07:00 EST,5,5,6,+845475,+304244,+733640,+267808,+717881,+262221,+2.297e+06,+834273
2000-01-01 00:08:00 EST,5,5,6,+845475,+304244,+733640,+267808,+717881,+262221,+2.297e+06,+834273
2000-01-01 00:09:00 EST,5,5,6,+845475,+304244,+733640,+267808,+717881,+262221,+2.297e+06,+834273
