# file...... data/scenario3/hacked_GFCR3-12.47-3_reg1_output.csv
# date...... Tue Aug 17 14:36:15 2021
# user...... solal
# host...... (null)
# target.... regulator 0
# trigger... (none)
# interval.. 60
# limit..... 1440
# timestamp,tap_A,tap_B,tap_C,power_in_A.real,power_in_A.imag,power_in_B.real,power_in_B.imag,power_in_C.real,power_in_C.imag,power_in.real,power_in.imag
2000-01-01 00:00:00 EST,0,0,0,+777701,+987441,+691043,+988783,+617038,+1.01058e+06,+2.08578e+06,+2.9868e+06
2000-01-01 00:01:00 EST,2,2,2,+772709,+777294,+692010,+988466,+615923,+1.01205e+06,+2.08064e+06,+2.77781e+06
2000-01-01 00:02:00 EST,4,4,4,+772339,+765747,+691525,+988267,+615126,+1.01173e+06,+2.07899e+06,+2.76574e+06
2000-01-01 00:03:00 EST,6,6,6,+776324,+986196,+689583,+988141,+614824,+1.00959e+06,+2.08073e+06,+2.98393e+06
2000-01-01 00:04:00 EST,6,6,6,+776318,+986184,+689665,+988110,+614878,+1.00962e+06,+2.08086e+06,+2.98391e+06
2000-01-01 00:05:00 EST,6,6,6,+776318,+986184,+689665,+988111,+614878,+1.00962e+06,+2.08086e+06,+2.98391e+06
2000-01-01 00:06:00 EST,6,6,6,+776318,+986184,+689665,+988111,+614878,+1.00962e+06,+2.08086e+06,+2.98391e+06
2000-01-01 00:07:00 EST,6,6,6,+776318,+986184,+689665,+988111,+614878,+1.00962e+06,+2.08086e+06,+2.98391e+06
2000-01-01 00:08:00 EST,6,6,6,+776318,+986184,+689665,+988111,+614878,+1.00962e+06,+2.08086e+06,+2.98391e+06
2000-01-01 00:09:00 EST,6,6,6,+776318,+986184,+689665,+988111,+614878,+1.00962e+06,+2.08086e+06,+2.98391e+06
