# file...... R5-12.47-5_capacitor1.csv
# date...... Tue Aug 10 17:17:35 2021
# user...... solal
# host...... (null)
# target.... capacitor 2
# trigger... (none)
# interval.. 60
# limit..... 1440
# timestamp,switchA,switchB,switchC,voltage_A.real,voltage_A.imag,voltage_B.real,voltage_B.imag,voltage_C.real,voltage_C.imag
2000-01-01 00:00:00 EST,OPEN,OPEN,OPEN,+6849.45,-327.501,-3716.17,-5730.97,-3128.93,+6101.63
2000-01-01 00:01:00 EST,OPEN,CLOSED,OPEN,+6889.42,-377.518,-3932.16,-5977.35,-3229.74,+6132.05
2000-01-01 00:02:00 EST,OPEN,CLOSED,OPEN,+6987.44,-374.163,-3980.35,-6067.4,-3283.53,+6214.6
2000-01-01 00:03:00 EST,OPEN,CLOSED,OPEN,+7087.84,-370.827,-4029.8,-6159.56,-3338.53,+6299.2
2000-01-01 00:04:00 EST,OPEN,OPEN,OPEN,+7145.53,-315.305,-3853.5,-5995.37,-3288.08,+6351.57
2000-01-01 00:05:00 EST,OPEN,OPEN,OPEN,+7126.74,-333.555,-3910.61,-6049.49,-3304.35,+6334.39
2000-01-01 00:06:00 EST,OPEN,OPEN,OPEN,+7126.74,-333.555,-3910.61,-6049.49,-3304.35,+6334.39
2000-01-01 00:07:00 EST,OPEN,OPEN,OPEN,+7126.74,-333.555,-3910.61,-6049.49,-3304.35,+6334.39
2000-01-01 00:08:00 EST,OPEN,OPEN,OPEN,+7126.74,-333.555,-3910.61,-6049.49,-3304.35,+6334.39
2000-01-01 00:09:00 EST,OPEN,OPEN,OPEN,+7126.74,-333.555,-3910.61,-6049.49,-3304.35,+6334.39
2000-01-01 00:10:00 EST,OPEN,OPEN,OPEN,+7126.74,-333.555,-3910.61,-6049.49,-3304.35,+6334.39
2000-01-01 00:11:00 EST,OPEN,OPEN,OPEN,+7126.74,-333.555,-3910.61,-6049.49,-3304.35,+6334.39
2000-01-01 00:12:00 EST,OPEN,OPEN,OPEN,+7126.74,-333.555,-3910.61,-6049.49,-3304.35,+6334.39
2000-01-01 00:13:00 EST,OPEN,OPEN,OPEN,+7126.74,-333.555,-3910.61,-6049.49,-3304.35,+6334.39
2000-01-01 00:14:00 EST,OPEN,OPEN,OPEN,+7126.74,-333.555,-3910.61,-6049.49,-3304.35,+6334.39
2000-01-01 00:15:00 EST,OPEN,OPEN,OPEN,+7126.74,-333.555,-3910.61,-6049.49,-3304.35,+6334.39
2000-01-01 00:16:00 EST,OPEN,OPEN,OPEN,+7126.74,-333.555,-3910.61,-6049.49,-3304.35,+6334.39
2000-01-01 00:17:00 EST,OPEN,OPEN,OPEN,+7126.74,-333.555,-3910.61,-6049.49,-3304.35,+6334.39
2000-01-01 00:18:00 EST,OPEN,OPEN,OPEN,+7126.74,-333.555,-3910.61,-6049.49,-3304.35,+6334.39
2000-01-01 00:19:00 EST,OPEN,OPEN,OPEN,+7126.74,-333.555,-3910.61,-6049.49,-3304.35,+6334.39
2000-01-01 00:20:00 EST,OPEN,OPEN,OPEN,+7126.74,-333.555,-3910.61,-6049.49,-3304.35,+6334.39
2000-01-01 00:21:00 EST,OPEN,OPEN,OPEN,+7126.74,-333.555,-3910.61,-6049.49,-3304.35,+6334.39
2000-01-01 00:22:00 EST,OPEN,OPEN,OPEN,+7126.74,-333.555,-3910.61,-6049.49,-3304.35,+6334.39
2000-01-01 00:23:00 EST,OPEN,OPEN,OPEN,+7126.74,-333.555,-3910.61,-6049.49,-3304.35,+6334.39
2000-01-01 00:24:00 EST,OPEN,OPEN,OPEN,+7126.74,-333.555,-3910.61,-6049.49,-3304.35,+6334.39
2000-01-01 00:25:00 EST,OPEN,OPEN,OPEN,+7126.74,-333.555,-3910.61,-6049.49,-3304.35,+6334.39
2000-01-01 00:26:00 EST,OPEN,OPEN,OPEN,+7126.74,-333.555,-3910.61,-6049.49,-3304.35,+6334.39
