# file...... R2-35.00-1_capacitor8.csv
# date...... Tue Aug 10 17:17:12 2021
# user...... solal
# host...... (null)
# target.... capacitor 9
# trigger... (none)
# interval.. 60
# limit..... 1440
# timestamp,switchA,switchB,switchC,voltage_A.real,voltage_A.imag,voltage_B.real,voltage_B.imag,voltage_C.real,voltage_C.imag
2000-01-01 00:00:00 EST,OPEN,OPEN,OPEN,+19095.2,-341.728,-9893.77,-16398.5,-9307.03,+16808.6
2000-01-01 00:01:00 EST,OPEN,CLOSED,OPEN,+19269,-423.498,-10301.2,-16871.6,-9524.04,+16948.7
2000-01-01 00:02:00 EST,OPEN,CLOSED,OPEN,+19537.7,-419.893,-10435.7,-17109.4,-9663.63,+17179.4
2000-01-01 00:03:00 EST,OPEN,CLOSED,OPEN,+19813,-416.311,-10573.6,-17353,-9806.6,+17415.8
2000-01-01 00:04:00 EST,OPEN,CLOSED,OPEN,+19813,-416.311,-10573.6,-17353,-9806.6,+17415.8
2000-01-01 00:05:00 EST,OPEN,CLOSED,OPEN,+19813,-416.311,-10573.6,-17353,-9806.6,+17415.8
2000-01-01 00:06:00 EST,OPEN,CLOSED,OPEN,+19813,-416.311,-10573.6,-17353,-9806.6,+17415.8
2000-01-01 00:07:00 EST,OPEN,CLOSED,OPEN,+19813,-416.311,-10573.6,-17353,-9806.6,+17415.8
2000-01-01 00:08:00 EST,OPEN,CLOSED,OPEN,+19813,-416.311,-10573.6,-17353,-9806.6,+17415.8
2000-01-01 00:09:00 EST,OPEN,CLOSED,OPEN,+19813,-416.311,-10573.6,-17353,-9806.6,+17415.8
2000-01-01 00:10:00 EST,OPEN,CLOSED,OPEN,+19813,-416.311,-10573.6,-17353,-9806.6,+17415.8
2000-01-01 00:11:00 EST,OPEN,CLOSED,OPEN,+19813,-416.311,-10573.6,-17353,-9806.6,+17415.8
2000-01-01 00:12:00 EST,OPEN,CLOSED,OPEN,+19813,-416.311,-10573.6,-17353,-9806.6,+17415.8
2000-01-01 00:13:00 EST,OPEN,CLOSED,OPEN,+19813,-416.311,-10573.6,-17353,-9806.6,+17415.8
2000-01-01 00:14:00 EST,OPEN,CLOSED,OPEN,+19813,-416.311,-10573.6,-17353,-9806.6,+17415.8
2000-01-01 00:15:00 EST,OPEN,CLOSED,OPEN,+19813,-416.311,-10573.6,-17353,-9806.6,+17415.8
2000-01-01 00:16:00 EST,OPEN,CLOSED,OPEN,+19813,-416.311,-10573.6,-17353,-9806.6,+17415.8
2000-01-01 00:17:00 EST,OPEN,CLOSED,OPEN,+19813,-416.311,-10573.6,-17353,-9806.6,+17415.8
2000-01-01 00:18:00 EST,OPEN,CLOSED,OPEN,+19813,-416.311,-10573.6,-17353,-9806.6,+17415.8
2000-01-01 00:19:00 EST,OPEN,CLOSED,OPEN,+19813,-416.311,-10573.6,-17353,-9806.6,+17415.8
2000-01-01 00:20:00 EST,OPEN,CLOSED,OPEN,+19813,-416.311,-10573.6,-17353,-9806.6,+17415.8
2000-01-01 00:21:00 EST,OPEN,CLOSED,OPEN,+19813,-416.311,-10573.6,-17353,-9806.6,+17415.8
