# file...... R5-12.47-1_capacitor3.csv
# date...... Tue Aug 10 17:17:22 2021
# user...... solal
# host...... (null)
# target.... capacitor 4
# trigger... (none)
# interval.. 60
# limit..... 1440
# timestamp,switchA,switchB,switchC,voltage_A.real,voltage_A.imag,voltage_B.real,voltage_B.imag,voltage_C.real,voltage_C.imag
2000-01-01 00:00:00 EST,OPEN,OPEN,OPEN,+7769.74,-222.987,-4030.74,-6613.05,-3620.14,+6775.63
2000-01-01 00:01:00 EST,OPEN,CLOSED,OPEN,+7834.69,-264.422,-4182.97,-6818.05,-3710.54,+6822
2000-01-01 00:02:00 EST,OPEN,CLOSED,OPEN,+7940.39,-262.177,-4235.65,-6912.85,-3767.59,+6912.95
2000-01-01 00:03:00 EST,OPEN,CLOSED,OPEN,+8048.74,-259.948,-4289.7,-7010,-3825.99,+7006.19
2000-01-01 00:04:00 EST,OPEN,CLOSED,OPEN,+8048.74,-259.948,-4289.7,-7010,-3825.99,+7006.19
2000-01-01 00:05:00 EST,OPEN,CLOSED,OPEN,+8048.74,-259.948,-4289.7,-7010,-3825.99,+7006.19
2000-01-01 00:06:00 EST,OPEN,CLOSED,OPEN,+8048.74,-259.948,-4289.7,-7010,-3825.99,+7006.19
2000-01-01 00:07:00 EST,OPEN,CLOSED,OPEN,+8048.74,-259.948,-4289.7,-7010,-3825.99,+7006.19
2000-01-01 00:08:00 EST,OPEN,CLOSED,OPEN,+8048.74,-259.948,-4289.7,-7010,-3825.99,+7006.19
2000-01-01 00:09:00 EST,OPEN,CLOSED,OPEN,+8048.74,-259.948,-4289.7,-7010,-3825.99,+7006.19
2000-01-01 00:10:00 EST,OPEN,CLOSED,OPEN,+8048.74,-259.948,-4289.7,-7010,-3825.99,+7006.19
2000-01-01 00:11:00 EST,OPEN,CLOSED,OPEN,+8048.74,-259.948,-4289.7,-7010,-3825.99,+7006.19
2000-01-01 00:12:00 EST,OPEN,CLOSED,OPEN,+8048.74,-259.948,-4289.7,-7010,-3825.99,+7006.19
2000-01-01 00:13:00 EST,OPEN,CLOSED,OPEN,+8048.74,-259.948,-4289.7,-7010,-3825.99,+7006.19
2000-01-01 00:14:00 EST,OPEN,CLOSED,OPEN,+8048.74,-259.948,-4289.7,-7010,-3825.99,+7006.19
2000-01-01 00:15:00 EST,OPEN,CLOSED,OPEN,+8048.74,-259.948,-4289.7,-7010,-3825.99,+7006.19
2000-01-01 00:16:00 EST,OPEN,CLOSED,OPEN,+8048.74,-259.948,-4289.7,-7010,-3825.99,+7006.19
2000-01-01 00:17:00 EST,OPEN,CLOSED,OPEN,+8048.74,-259.948,-4289.7,-7010,-3825.99,+7006.19
2000-01-01 00:18:00 EST,OPEN,CLOSED,OPEN,+8048.74,-259.948,-4289.7,-7010,-3825.99,+7006.19
2000-01-01 00:19:00 EST,OPEN,CLOSED,OPEN,+8048.74,-259.948,-4289.7,-7010,-3825.99,+7006.19
2000-01-01 00:20:00 EST,OPEN,CLOSED,OPEN,+8048.74,-259.948,-4289.7,-7010,-3825.99,+7006.19
2000-01-01 00:21:00 EST,OPEN,CLOSED,OPEN,+8048.74,-259.948,-4289.7,-7010,-3825.99,+7006.19
2000-01-01 00:22:00 EST,OPEN,CLOSED,OPEN,+8048.74,-259.948,-4289.7,-7010,-3825.99,+7006.19
2000-01-01 00:23:00 EST,OPEN,CLOSED,OPEN,+8048.74,-259.948,-4289.7,-7010,-3825.99,+7006.19
2000-01-01 00:24:00 EST,OPEN,CLOSED,OPEN,+8048.74,-259.948,-4289.7,-7010,-3825.99,+7006.19
2000-01-01 00:25:00 EST,OPEN,CLOSED,OPEN,+8048.74,-259.948,-4289.7,-7010,-3825.99,+7006.19
2000-01-01 00:26:00 EST,OPEN,CLOSED,OPEN,+8048.74,-259.948,-4289.7,-7010,-3825.99,+7006.19
2000-01-01 00:27:00 EST,OPEN,CLOSED,OPEN,+8048.74,-259.948,-4289.7,-7010,-3825.99,+7006.19
2000-01-01 00:28:00 EST,OPEN,CLOSED,OPEN,+8048.74,-259.948,-4289.7,-7010,-3825.99,+7006.19
2000-01-01 00:29:00 EST,OPEN,CLOSED,OPEN,+8048.74,-259.948,-4289.7,-7010,-3825.99,+7006.19
2000-01-01 00:30:00 EST,OPEN,CLOSED,OPEN,+8048.74,-259.948,-4289.7,-7010,-3825.99,+7006.19
2000-01-01 00:31:00 EST,OPEN,CLOSED,OPEN,+8048.74,-259.948,-4289.7,-7010,-3825.99,+7006.19
2000-01-01 00:32:00 EST,OPEN,CLOSED,OPEN,+8048.74,-259.948,-4289.7,-7010,-3825.99,+7006.19
2000-01-01 00:33:00 EST,OPEN,CLOSED,OPEN,+8048.74,-259.948,-4289.7,-7010,-3825.99,+7006.19
2000-01-01 00:34:00 EST,OPEN,CLOSED,OPEN,+8048.74,-259.948,-4289.7,-7010,-3825.99,+7006.19
2000-01-01 00:35:00 EST,OPEN,CLOSED,OPEN,+8048.74,-259.948,-4289.7,-7010,-3825.99,+7006.19
2000-01-01 00:36:00 EST,OPEN,CLOSED,OPEN,+8048.74,-259.948,-4289.7,-7010,-3825.99,+7006.19
2000-01-01 00:37:00 EST,OPEN,CLOSED,OPEN,+8048.74,-259.948,-4289.7,-7010,-3825.99,+7006.19
2000-01-01 00:38:00 EST,OPEN,CLOSED,OPEN,+8048.74,-259.948,-4289.7,-7010,-3825.99,+7006.19
2000-01-01 00:39:00 EST,OPEN,CLOSED,OPEN,+8048.74,-259.948,-4289.7,-7010,-3825.99,+7006.19
2000-01-01 00:40:00 EST,OPEN,CLOSED,OPEN,+8048.74,-259.948,-4289.7,-7010,-3825.99,+7006.19
2000-01-01 00:41:00 EST,OPEN,CLOSED,OPEN,+8048.74,-259.948,-4289.7,-7010,-3825.99,+7006.19
2000-01-01 00:42:00 EST,OPEN,CLOSED,OPEN,+8048.74,-259.948,-4289.7,-7010,-3825.99,+7006.19
2000-01-01 00:43:00 EST,OPEN,CLOSED,OPEN,+8048.74,-259.948,-4289.7,-7010,-3825.99,+7006.19
2000-01-01 00:44:00 EST,OPEN,CLOSED,OPEN,+8048.74,-259.948,-4289.7,-7010,-3825.99,+7006.19
2000-01-01 00:45:00 EST,OPEN,CLOSED,OPEN,+8048.74,-259.948,-4289.7,-7010,-3825.99,+7006.19
2000-01-01 00:46:00 EST,OPEN,CLOSED,OPEN,+8048.74,-259.948,-4289.7,-7010,-3825.99,+7006.19
2000-01-01 00:47:00 EST,OPEN,CLOSED,OPEN,+8048.74,-259.948,-4289.7,-7010,-3825.99,+7006.19
2000-01-01 00:48:00 EST,OPEN,CLOSED,OPEN,+8048.74,-259.948,-4289.7,-7010,-3825.99,+7006.19
2000-01-01 00:49:00 EST,OPEN,CLOSED,OPEN,+8048.74,-259.948,-4289.7,-7010,-3825.99,+7006.19
2000-01-01 00:50:00 EST,OPEN,CLOSED,OPEN,+8048.74,-259.948,-4289.7,-7010,-3825.99,+7006.19
2000-01-01 00:51:00 EST,OPEN,CLOSED,OPEN,+8048.74,-259.948,-4289.7,-7010,-3825.99,+7006.19
2000-01-01 00:52:00 EST,OPEN,CLOSED,OPEN,+8048.74,-259.948,-4289.7,-7010,-3825.99,+7006.19
2000-01-01 00:53:00 EST,OPEN,CLOSED,OPEN,+8048.74,-259.948,-4289.7,-7010,-3825.99,+7006.19
2000-01-01 00:54:00 EST,OPEN,CLOSED,OPEN,+8048.74,-259.948,-4289.7,-7010,-3825.99,+7006.19
2000-01-01 00:55:00 EST,OPEN,CLOSED,OPEN,+8048.74,-259.948,-4289.7,-7010,-3825.99,+7006.19
2000-01-01 00:56:00 EST,OPEN,CLOSED,OPEN,+8048.74,-259.948,-4289.7,-7010,-3825.99,+7006.19
2000-01-01 00:57:00 EST,OPEN,CLOSED,OPEN,+8048.74,-259.948,-4289.7,-7010,-3825.99,+7006.19
2000-01-01 00:58:00 EST,OPEN,CLOSED,OPEN,+8048.74,-259.948,-4289.7,-7010,-3825.99,+7006.19
2000-01-01 00:59:00 EST,OPEN,CLOSED,OPEN,+8048.74,-259.948,-4289.7,-7010,-3825.99,+7006.19
