# file...... R2-12.27-2_reg2_output.csv
# date...... Tue Aug 10 17:17:08 2021
# user...... solal
# host...... (null)
# target.... regulator 1
# trigger... (none)
# interval.. 60
# limit..... 1440
# timestamp,tap_A,tap_B,tap_C,power_in_A.real,power_in_A.imag,power_in_B.real,power_in_B.imag,power_in_C.real,power_in_C.imag,power_in.real,power_in.imag
2000-01-01 00:00:00 EST,0,0,0,+575020,+468798,+478031,+367109,+956786,+693141,+2.00984e+06,+1.52905e+06
2000-01-01 00:01:00 EST,2,2,2,+574713,+468299,+477868,+366860,+954873,-30248.3,+2.00745e+06,+804910
2000-01-01 00:02:00 EST,4,4,4,+574433,+467835,+477724,+366634,+954449,-71838.6,+2.00661e+06,+762630
2000-01-01 00:03:00 EST,6,6,4,+574179,+467406,+477599,+366431,+955108,+690480,+2.00689e+06,+1.52432e+06
2000-01-01 00:04:00 EST,7,6,6,+574122,+467309,+477599,+366431,+955197,+690625,+2.00692e+06,+1.52436e+06
2000-01-01 00:05:00 EST,7,6,8,+574122,+467309,+477599,+366431,+954985,+690278,+2.00671e+06,+1.52402e+06
2000-01-01 00:06:00 EST,7,6,8,+574122,+467309,+477599,+366431,+954985,+690278,+2.00671e+06,+1.52402e+06
2000-01-01 00:07:00 EST,7,6,8,+574122,+467309,+477599,+366431,+954985,+690278,+2.00671e+06,+1.52402e+06
2000-01-01 00:08:00 EST,7,6,8,+574122,+467309,+477599,+366431,+954985,+690278,+2.00671e+06,+1.52402e+06
2000-01-01 00:09:00 EST,7,6,8,+574122,+467309,+477599,+366431,+954985,+690278,+2.00671e+06,+1.52402e+06
2000-01-01 00:10:00 EST,7,6,8,+574122,+467309,+477599,+366431,+954985,+690278,+2.00671e+06,+1.52402e+06
2000-01-01 00:11:00 EST,7,6,8,+574122,+467309,+477599,+366431,+954985,+690278,+2.00671e+06,+1.52402e+06
