# file...... R5-12.47-1_reg1_output.csv
# date...... Tue Aug 10 17:17:22 2021
# user...... solal
# host...... (null)
# target.... regulator 0
# trigger... (none)
# interval.. 60
# limit..... 1440
# timestamp,tap_A,tap_B,tap_C,power_in_A.real,power_in_A.imag,power_in_B.real,power_in_B.imag,power_in_C.real,power_in_C.imag,power_in.real,power_in.imag
2000-01-01 00:00:00 EST,0,0,0,+3.15186e+06,+1.92523e+06,+3.41825e+06,+2.05704e+06,+4.11844e+06,+2.63335e+06,+1.06886e+07,+6.61562e+06
2000-01-01 00:01:00 EST,2,2,2,+3.15406e+06,+1.94463e+06,+3.38664e+06,+1.01628e+06,+4.13775e+06,+2.61403e+06,+1.06784e+07,+5.57494e+06
2000-01-01 00:02:00 EST,4,4,4,+3.15326e+06,+1.94143e+06,+3.3854e+06,+986375,+4.13591e+06,+2.60896e+06,+1.06746e+07,+5.53677e+06
2000-01-01 00:03:00 EST,6,6,6,+3.15248e+06,+1.93829e+06,+3.38419e+06,+955471,+4.13411e+06,+2.60399e+06,+1.06708e+07,+5.49776e+06
2000-01-01 00:04:00 EST,6,6,6,+3.15248e+06,+1.93829e+06,+3.38419e+06,+955470,+4.13411e+06,+2.60399e+06,+1.06708e+07,+5.49775e+06
2000-01-01 00:05:00 EST,6,6,6,+3.15248e+06,+1.93829e+06,+3.38419e+06,+955470,+4.13411e+06,+2.60399e+06,+1.06708e+07,+5.49775e+06
2000-01-01 00:06:00 EST,6,6,6,+3.15248e+06,+1.93829e+06,+3.38419e+06,+955470,+4.13411e+06,+2.60399e+06,+1.06708e+07,+5.49775e+06
2000-01-01 00:07:00 EST,6,6,6,+3.15248e+06,+1.93829e+06,+3.38419e+06,+955470,+4.13411e+06,+2.60399e+06,+1.06708e+07,+5.49775e+06
2000-01-01 00:08:00 EST,6,6,6,+3.15248e+06,+1.93829e+06,+3.38419e+06,+955470,+4.13411e+06,+2.60399e+06,+1.06708e+07,+5.49775e+06
2000-01-01 00:09:00 EST,6,6,6,+3.15248e+06,+1.93829e+06,+3.38419e+06,+955470,+4.13411e+06,+2.60399e+06,+1.06708e+07,+5.49775e+06
2000-01-01 00:10:00 EST,6,6,6,+3.15248e+06,+1.93829e+06,+3.38419e+06,+955470,+4.13411e+06,+2.60399e+06,+1.06708e+07,+5.49775e+06
2000-01-01 00:11:00 EST,6,6,6,+3.15248e+06,+1.93829e+06,+3.38419e+06,+955470,+4.13411e+06,+2.60399e+06,+1.06708e+07,+5.49775e+06
2000-01-01 00:12:00 EST,6,6,6,+3.15248e+06,+1.93829e+06,+3.38419e+06,+955470,+4.13411e+06,+2.60399e+06,+1.06708e+07,+5.49775e+06
2000-01-01 00:13:00 EST,6,6,6,+3.15248e+06,+1.93829e+06,+3.38419e+06,+955470,+4.13411e+06,+2.60399e+06,+1.06708e+07,+5.49775e+06
2000-01-01 00:14:00 EST,6,6,6,+3.15248e+06,+1.93829e+06,+3.38419e+06,+955470,+4.13411e+06,+2.60399e+06,+1.06708e+07,+5.49775e+06
2000-01-01 00:15:00 EST,6,6,6,+3.15248e+06,+1.93829e+06,+3.38419e+06,+955470,+4.13411e+06,+2.60399e+06,+1.06708e+07,+5.49775e+06
2000-01-01 00:16:00 EST,6,6,6,+3.15248e+06,+1.93829e+06,+3.38419e+06,+955470,+4.13411e+06,+2.60399e+06,+1.06708e+07,+5.49775e+06
2000-01-01 00:17:00 EST,6,6,6,+3.15248e+06,+1.93829e+06,+3.38419e+06,+955470,+4.13411e+06,+2.60399e+06,+1.06708e+07,+5.49775e+06
2000-01-01 00:18:00 EST,6,6,6,+3.15248e+06,+1.93829e+06,+3.38419e+06,+955470,+4.13411e+06,+2.60399e+06,+1.06708e+07,+5.49775e+06
2000-01-01 00:19:00 EST,6,6,6,+3.15248e+06,+1.93829e+06,+3.38419e+06,+955470,+4.13411e+06,+2.60399e+06,+1.06708e+07,+5.49775e+06
2000-01-01 00:20:00 EST,6,6,6,+3.15248e+06,+1.93829e+06,+3.38419e+06,+955470,+4.13411e+06,+2.60399e+06,+1.06708e+07,+5.49775e+06
2000-01-01 00:21:00 EST,6,6,6,+3.15248e+06,+1.93829e+06,+3.38419e+06,+955470,+4.13411e+06,+2.60399e+06,+1.06708e+07,+5.49775e+06
2000-01-01 00:22:00 EST,6,6,6,+3.15248e+06,+1.93829e+06,+3.38419e+06,+955470,+4.13411e+06,+2.60399e+06,+1.06708e+07,+5.49775e+06
2000-01-01 00:23:00 EST,6,6,6,+3.15248e+06,+1.93829e+06,+3.38419e+06,+955470,+4.13411e+06,+2.60399e+06,+1.06708e+07,+5.49775e+06
2000-01-01 00:24:00 EST,6,6,6,+3.15248e+06,+1.93829e+06,+3.38419e+06,+955470,+4.13411e+06,+2.60399e+06,+1.06708e+07,+5.49775e+06
2000-01-01 00:25:00 EST,6,6,6,+3.15248e+06,+1.93829e+06,+3.38419e+06,+955470,+4.13411e+06,+2.60399e+06,+1.06708e+07,+5.49775e+06
2000-01-01 00:26:00 EST,6,6,6,+3.15248e+06,+1.93829e+06,+3.38419e+06,+955470,+4.13411e+06,+2.60399e+06,+1.06708e+07,+5.49775e+06
2000-01-01 00:27:00 EST,6,6,6,+3.15248e+06,+1.93829e+06,+3.38419e+06,+955470,+4.13411e+06,+2.60399e+06,+1.06708e+07,+5.49775e+06
